Date,AdjRSq
2020-03-29,0.8621761000686742
2020-03-30,0.8665965807383943
2020-03-31,0.8704475041861258
2020-04-01,0.8737241466574668
2020-04-02,0.882022222844305
2020-04-03,0.8938679725136491
2020-04-04,0.9049448336520731
2020-04-05,0.9152869822936066
2020-04-06,0.924935293127796
2020-04-07,0.9338509696980617
2020-04-08,0.9420152974663671
2020-04-09,0.9494148175985532
2020-04-10,0.9560518916418739
2020-04-11,0.9619208386598573
2020-04-12,0.9670712371359299
2020-04-13,0.9716885214539002
2020-04-14,0.9758147461442651
2020-04-15,0.9794200504036374
2020-04-16,0.9825370120293588
2020-04-17,0.9851725990695976
2020-04-18,0.9874039418945303
2020-04-19,0.989272328663572
2020-04-20,0.9907597792619867
2020-04-21,0.9919210480270495
2020-04-22,0.9927508066364124
2020-04-23,0.9933121694546456
2020-04-24,0.9935975063504547
2020-04-25,0.99367514287702
2020-04-26,0.9935402620169661
2020-04-27,0.9932108629625
2020-04-28,0.9927466739993603
2020-04-29,0.9921485151914802
2020-04-30,0.9914525208441191
2020-05-01,0.990797661160376
2020-05-02,0.9901612862007619
2020-05-03,0.9905238508932408
2020-05-04,0.9910006602749102
2020-05-05,0.9914488797649519
2020-05-06,0.9919522585655164
2020-05-07,0.9925183042463921
2020-05-08,0.9931773655954458
2020-05-09,0.9939893666969163
2020-05-10,0.9947894540375085
2020-05-11,0.9955438897065442
2020-05-12,0.9962296976142573
2020-05-13,0.9968302628613397
2020-05-14,0.9973262952634313
2020-05-15,0.997729322676421
2020-05-16,0.9980755152532969
2020-05-17,0.9983574749269458
2020-05-18,0.9985697081843429
2020-05-19,0.9987729176033964
2020-05-20,0.9989788635963691
2020-05-21,0.9991461014646996
2020-05-22,0.9992886125178472
2020-05-23,0.9993664617915817
2020-05-24,0.9993916623480772
2020-05-25,0.9993770030489298
2020-05-26,0.9993649562130954
2020-05-27,0.9993481953995996
2020-05-28,0.9993639220087465
