Date,Total Confirmed,Log Total Confirmed
2020-01-30,1,0
2020-01-31,1,0
2020-02-01,1,0
2020-02-02,2,0.6931471805599453
2020-02-03,3,1.0986122886681098
2020-02-04,3,1.0986122886681098
2020-02-05,3,1.0986122886681098
2020-02-06,3,1.0986122886681098
2020-02-07,3,1.0986122886681098
2020-02-08,3,1.0986122886681098
2020-02-09,3,1.0986122886681098
2020-02-10,3,1.0986122886681098
2020-02-11,3,1.0986122886681098
2020-02-12,3,1.0986122886681098
2020-02-13,3,1.0986122886681098
2020-02-14,3,1.0986122886681098
2020-02-15,3,1.0986122886681098
2020-02-16,3,1.0986122886681098
2020-02-17,3,1.0986122886681098
2020-02-18,3,1.0986122886681098
2020-02-19,3,1.0986122886681098
2020-02-20,3,1.0986122886681098
2020-02-21,3,1.0986122886681098
2020-02-22,3,1.0986122886681098
2020-02-23,3,1.0986122886681098
2020-02-24,3,1.0986122886681098
2020-02-25,3,1.0986122886681098
2020-02-26,3,1.0986122886681098
2020-02-27,3,1.0986122886681098
2020-02-28,3,1.0986122886681098
2020-02-29,3,1.0986122886681098
2020-03-01,3,1.0986122886681098
2020-03-02,5,1.6094379124341003
2020-03-03,6,1.791759469228055
2020-03-04,28,3.332204510175204
2020-03-05,30,3.4011973816621555
2020-03-06,31,3.4339872044851463
2020-03-07,34,3.5263605246161616
2020-03-08,39,3.6635616461296463
2020-03-09,48,3.871201010907891
2020-03-10,63,4.143134726391533
2020-03-11,71,4.2626798770413155
2020-03-12,81,4.394449154672439
2020-03-13,91,4.51085950651685
2020-03-14,102,4.624972813284271
2020-03-15,112,4.718498871295094
2020-03-16,126,4.836281906951478
2020-03-17,146,4.983606621708336
2020-03-18,171,5.14166355650266
2020-03-19,198,5.288267030694535
2020-03-20,256,5.545177444479562
2020-03-21,334,5.811140992976701
2020-03-22,403,5.998936561946683
2020-03-23,497,6.208590026096629
2020-03-24,571,6.3473892096560105
2020-03-25,657,6.48768401848461
2020-03-26,730,6.593044534142437
2020-03-27,883,6.78332520060396
2020-03-28,1019,6.926577033222725
2020-03-29,1139,7.037905963447182
2020-03-30,1326,7.189922170745808
2020-03-31,1635,7.399398083331354
2020-04-01,2059,7.629975707027789
2020-04-02,2545,7.841885928984623
2020-04-03,3105,8.040768994367578
2020-04-04,3684,8.211754397375197
2020-04-05,4293,8.36474106822456
2020-04-06,4777,8.471568013389962
2020-04-07,5350,8.584851839890053
2020-04-08,5915,8.685246776412487
2020-04-09,6728,8.814033201652784
2020-04-10,7599,8.935771938669784
2020-04-11,8453,9.042276686928927
2020-04-12,9211,9.128153700988236
2020-04-13,10454,9.254739959272866
2020-04-14,11485,9.3487971151232
2020-04-15,12371,9.423110302862831
2020-04-16,13432,9.505395198757377
2020-04-17,14354,9.571783927990017
2020-04-18,15725,9.663007081568642
2020-04-19,17305,9.758750756069444
2020-04-20,18544,9.827901565579532
2020-04-21,20081,9.90752937336246
2020-04-22,21373,9.96988372217581
2020-04-23,23040,10.044987114809828
2020-04-24,24448,10.104303691966248
2020-04-25,26283,10.176677621334473
2020-04-26,27890,10.236023480621535
2020-04-27,29458,10.290720799049488
2020-04-28,31360,10.353288474464344
2020-04-29,33065,10.406230600108763
2020-04-30,34866,10.45926742130316
2020-05-01,37262,10.525729319580298
2020-05-02,39826,10.592275244318621
2020-05-03,42778,10.663779230725403
2020-05-04,46434,10.745787228498514
2020-05-05,49405,10.807806912629063
2020-05-06,53007,10.87817925928476
2020-05-07,56351,10.939355265539387
2020-05-08,59690,10.996919781162696
2020-05-09,62865,11.048744849027281
2020-05-10,67176,11.115071319863398
2020-05-11,70768,11.167162200108107
2020-05-12,74330,11.21626991771934
2020-05-13,78056,11.265181796787786
2020-05-14,82047,11.315047532778493
2020-05-15,85855,11.360415105747903
2020-05-16,90649,11.414750184682548
2020-05-17,95698,11.468952678581077
2020-05-18,100326,11.516180162690723
2020-05-19,106480,11.575712453068993
2020-05-20,112200,11.628038272070732
2020-05-21,118223,11.680327950473234
2020-05-22,124759,11.734139155300069
2020-05-23,131424,11.786184016756286
2020-05-24,138537,11.838892716946294
2020-05-25,144951,11.88415103325667
2020-05-26,150858,11.92409427599507
2020-05-27,158104,11.97100832332027
2020-05-28,165358,12.015868099459091
